class_0,class_1,text
1,0,hey kevin hope good well miss ya dude
1,0,sup greghow hows familysay hi everyone pleeezo yea tell dee dee dee brother add friends least pimp profile upand tell use excusesthanx lates ese
1,0,hey sis great job profilebet cant wait ggiltflaughing annie told say
1,0,yeah totally enter nags like dance like
0,1,every body knows page screwedd cant get trying save wait gets another page
1,0,hey two friends
1,0,hey sexy man missing wanted sat hi cant wait till friday get drunk take advantage
0,1,ya regret giving old couldnt aford four quads course oic taken race series ater series looked like shit
1,0,wazz prima damn good dont see well want let know im still miss hope see soon respect la dr3am3er
1,0,eric needed cousin time call sometime soon todayi know ohio state michigan today maybe tomorrow
1,0,hey gurlie wanted stop say hi lisa ds girl
0,1,wut hell doin online yea man isnt bday today days ago like week ago fuck talkin im lost
1,0,prayers going soldiers today may god keep safe
1,0,ive going school working butt glad know ok much luv swee pea
1,0,hey ive trying get ahold youso whats new
1,0,hey boo boo thanks add wot usa like
1,0,happy birthday chrisnow go get trashed
0,1,ill try get sitterill let know
1,0,thank hans
0,1,dnt hater cuz need dick toys aint wk
1,0,hi tim shit co aka fish co recently ahh good drunk nights fish co go wrong haha
1,0,hey craig things going texas herd want move arizona tell shana said hi
1,0,happy holidays hope great new year well
1,0,yeaaaaaaaaah edga baby hell ya beenwe gaaabage soooonnsss
1,0,love pics thanks add
1,0,hooters haha
1,0,wat baby boo lmao hey man
0,1,hey honey hell doini aint seen minwhere hell beenso doin weekenddam see love shyt happen dont let know shyt younow parkside yo ass couldnt wait tell shyt see doin boowell nigga get mekeshia
0,1,whats boy carson
0,1,next time see im whoopin country ass hillbilly
1,0,heart
1,0,manholla ya boy
1,0,hiiii love bothhhh muchoo
1,0,things good thanx wow emma blast past
1,0,um thanks add want tell little
1,0,yet charlie wont done solo ensamble time go us said responsibility choir team race im proud anyway friend stephanies mom said probably pick stephanie let stay weekend go school rides bus would conveint said check things schedual would get back touch soon ill keep ya updated still month away lot change
1,0,hey thats awesome congratulations getting married oh im really sorry tell lost phone number could please give
1,0,yeayea jundo
1,0,josh whats home skillet haha set myspae background need set pics photoshop shift code use myspace layout make background
1,0,know cus love ya call time
1,0,hey liss maybe run away maryville partay like rawk stars haha
1,0,haha yeaaaaaaaaaaaaa
1,0,free internet lol
0,1,yeah im worried tooi two classes time organic take graduate im really worried
0,1,aw big shame lol havent much really jus went oceana havent sooo bored life saw mates thats cool hope well speek soon xxx
1,0,waz gud tho
1,0,hey thanks add dont stranger
1,0,hey lan things good loved comment left menice pic
1,0,hi ali managed get myspace working thought id leave wee message get ur backdrop pink miss xxx
1,0,happy birthday youhappy birthday youhappy birthdaaay grreegghappy birthday im singing ya couldnt tell
0,1,days bastardo im work today
1,0,definitely dread chord haha
0,1,take jail drop soap shut fuck man lol
1,0,hey mike
1,0,hey girl havent heard thought id stop see
1,0,happy birthday
1,0,hey thanks add beautiful great summer alright peace
1,0,hey thanx da requestdo
1,0,whats long time see everyday come across somebody knows peyton
1,0,h0p3 s0 l0l wat ar3 yall g0iing lata
1,0,happy birthday sunday youre class act
1,0,hi donnaalex two fine evening plans anything romantic films trhe bedside xx
1,0,hahahaha legend ahhh blackadder 6hour war film look goood bet soon test new hd tv hahaha mmmm capri sum stak kidney pie xxx
1,0,hey bro seen buffalo skull drawing erase one put one pics looks much better see details later dj
1,0,thank god myspace lol kidding
1,0,hiim jessica
1,0,problem damn dats whats really good wanna lose wieght ima try thanks kit oh yeah dont let ur boss caught lol
1,0,becky olives bestest friend forever love becky jello shots schmello shots
1,0,yo next time ts im aim get chill ya
1,0,alrite buddy lot gunna town thursday think theres quite alot ppl goin shud gd seems since lot
1,0,dude forever doin
1,0,wats tyler got listin song pro makes fun soulja boy hardcore versonits awsome
0,1,things pretty good crazy busy mike works everysaturday work everyother really busy still college class dont think time soon way much happening lives right
1,0,wanna know insecurities secrets needs want mental physical ive got wont stop know youre beautiful dorian
1,0,thought would drop say happy christmas merry new year lol take care
0,1,whatever hate ppl giving mean face yall stupid givng wierd face two funny though
1,0,hey really nice see guys often hope see everyone soon ashley
1,0,yes good chad back sea november gotta love navy well hope well good hear yakeep touch
1,0,hey hun thanks add hope well spk soon xxxx
0,1,acdc blow kens cover
1,0,thanks add
0,1,im bleeding rectally xxx
1,0,good lad ill top form today mate im hungover hope lol
1,0,time gave world mysapce hows everything going jess coming wedding well see ya later peace
1,0,thank
1,0,lol havent gotten yet think im going todaysounds good though
1,0,fun vegas
1,0,heyy loser dont think cool since myspace yeahh dont well cool myspace freakin cool ok well love uncle loser
1,0,happy birthday cousin enjoy day fullest may god bless keep guide everyday take care fun love silvy
1,0,whats big bro doin
1,0,hey catherine ya well nothin much tryna pass classes love avinger much
1,0,hi dobbie ooo magazine thing ive hearing cool lived glasgow haha doi de doi de doi de doi hope alls great
1,0,homieim chillinuwell cmb peace hector
1,0,miss lover
1,0,see baby cute everything
1,0,happy birthday
1,0,doin baby luv incredible mutha fuckin black
1,0,far amazing wonderful woman ever met love heart soul ashley
1,0,whats girl long long time
1,0,whatsup thanks adding me3
1,0,yo homeslice leavin love page ill ttyl love peace chicken grease holla joelle
1,0,whats shorty cant wait till friday pick lol
1,0,hun wmb love alot bb margie
1,0,hey babe dont put picz ui wanna see ur cute face
0,1,cassie freak
1,0,bad thanks case fancy going see august london rents prob going go go place else lol like 1750 think bargain personally get back lovely love love ox
1,0,alright guys know everyones asking hadnt made mind yet til heres scoop im gonna celebrate bday saturday 14th glass please help spread word week get word everybody everyones help great turn last year awesome turnout lets make years bdayreunion party bigger last years im counting guys let everyone know official bdayreunion party dont miss hanging peeps one roof next day details everyone start spreading word orly
1,0,tell nai said happy birthday
1,0,ya warranty free already got everything back saved computer good go
1,0,damn bro happy belated birthday hehe yea hope didnt party gard grats hittin 16 peace roids matt
0,1,got tired shit support money leadership quit spent 12 years place one person said thank even fk since left good though things going great would foolish stay amy longer place nothing going anymore dont want associated
1,0,hero
1,0,going tonight wanna go let know call
1,0,hi dave well river spoke jesss morning getting prepared halloween party edinburgh cannot think better city ed thatvery gothic castles cobbled streets etc jess hey lisa got new job london working management company handles mark knopfler money nothin chicks freeetc james newcastle uni ballwhich means getting pissed nights think anyway davekeep well
1,0,hello mr lovely wig think permanent fixture hope well dandyxx
1,0,hey ryan heard might getting bike thats sweet well good luck search trish
0,1,girl go something ya life
1,0,thanx da add comment pics
1,0,yo gonna listen dem tapes dis weekend fake money ya know crew 2001 like 1999 itt tech dat sloppy bj big daddy long shlong mex dui till die first get dem 40
1,0,okay well least useful
1,0,happy birthday
1,0,yay ur friend 1st comment feel special
1,0,hey hott old man picture man hope look good im old
1,0,hi thanx lil addi take know bff sammiyeah rocks
1,0,uhhh top whatever think know adrienne indian freshman
1,0,love
0,1,hate liars bitchassness
0,1,fun
1,0,hey thinks visting myspace requesting friend hit see leave message
1,0,hey sexy im work wanted say fun shoppinglove ya
1,0,oh noyour song broken happy birthday bitch love ya
1,0,would great play togther knowing played together pretty much whole football careers gunna hard leave im proud tho john im glad great success ill need man sorry sympathetic stuff im glad friend man
0,1,ill something called labrynthitus inner ear fucked cant stand without falling
1,0,life complete chad myspace friendwoo hoo
1,0,welcome aboard matey see saturday bit fighting
1,0,im good
1,0,yay glad free roam
0,1,yes whats half black son gun
1,0,hey dude need call band practice rock dude
0,1,wats biatchu like tha movie
1,0,happy birthday happy birthday happy birthday dear popssss happy birthday umm think deserve top love sierra
1,0,hey maribelhow
1,0,ya miss lol
1,0,hah feel loved ur tops
1,0,aye congrats da new born nigga
0,1,jim doesnt get pissed mad
0,1,nigga henna wuts tha mutha fuckin deal cuz havnt seen ur punk ass mins man fuckin holla boi bitch twankie
0,1,soxyankees take yanks kiddin
1,0,hey love cute pics message back
1,0,hey hun
1,0,hello new fwend
1,0,happy birthday ben
1,0,look lee top leaderboard oh yeah im probs person know least sorry didnt get hold left phone dads car ill catch ya monday buddy much love
1,0,um offie real nick haha naw im playinu know ur sexy hell lol
1,0,hey tiffany welcome myspace seen nobody sent ne coments figured would send one hit back maybe sometime yah know well ill ttyl bye earl
1,0,steveooo whats man
1,0,yayi read profile lol terri know wont get like 10 friggin years love thanks need youre wonderful motherinlaw couldnt ask anything
0,1,think work enough week
1,0,hey boii havent talk ya amin whats good well im jus commin showin prescious love
1,0,love myspace friend
1,0,hey yall miss yall im hoping come home soon showmei dates wean ill back states cant say right lol clissified stuff lol ill keep touch tell everyone miss alot good luck hunting year
1,0,big dave whts krakkking man ceen long tyme since seen youu ceen skool man live mizzouri still going skoolwell good dis shitgood luck jah bless
1,0,kieron blaits think space amazind loveuu
1,0,lol feel ay get chance listen da original theme song hear much chop flip get rite da beat
1,0,aaaaaay bitchlol naw wassup baby yo page aight aint dat nigga yea change pic got yo big ass head hole pic back ground yeah ya nigga gettin ghost im love
1,0,hey bab really need sort somethin valentines please stop bein big gimp days till im home love xxxxx
1,0,congratulations new addition family cant wait watch james grow develop young man
0,1,aye im feelin best either atmbut thats probably cos shit weekend haha good luck algebra school sucks herelike loads mates year left fun onesso school majorly boring ill live haha xx
1,0,thanx love girl youre prettyi know ur gonna great dancing modeling long stay aggressive im modeling yet work full time kinda hardbut ima try get top right gotta get running across right people hope great weekend show sum love ill always return dont stranger mizz faith bb
1,0,yooo holla weekend man party aint gotten drunk ina minute
1,0,whats homie
1,0,love miss cant wait till come home todaywooo partay time
1,0,hey baby see tonight
1,0,wut im jus passin show ur page sum luv get hope return soon possible safe
1,0,thanks rock ha thats first message later
1,0,hey bud whats see um changed page little haha
1,0,miss love
1,0,lol still love matter
1,0,omgthat great picture
1,0,wuts mayne stoppin gracin page make sure return favor ya digg
1,0,hey3 im steven
1,0,yep actually 10 know six black ones four brown ones
1,0,hey girl thanks add looking good
1,0,whats dude tonight plans might hit bar later sure yet call going
0,1,wat asshole dis dough holla
1,0,hey babyim first one comment myspacei love
1,0,senor gorgo nice good luck everything kizzy
1,0,wowi havent gone house yet long adding myspace hahaha must miss lot hahahahahah
1,0,found little jackal haha love lots bro
1,0,old soullovin fro get huni never see ya anymore
1,0,funn minus back forth stuff start schoolin august
1,0,yeh defo meet wen back hols summit guna bit busy tell hear summer school cos still havent got nething yet cheers bigears
1,0,im listenin ratm thought haha word speaking burned victims needa hang lol
0,1,ur animal
1,0,cheers neye humbled make sense ha ha ha best wishes kuala lumpur
1,0,thanks bro
1,0,hahahahahahahah ur pic funny cj aka liljc comment back
1,0,welcome renji
1,0,goes lady
1,0,whats girrrllllllllll
0,1,dude smoke fat rocks day got something say ill shove beans throat
1,0,hey cuttiiee
0,1,mama mama
1,0,hey thanks add
1,0,wassup lil bit stoppin show love
0,1,look whos trying get frat kind weird mean us alpha beta twat doesnt mean anyone get inmaybe ill put good word
1,0,hey girl thank much comment blog posted need join us one girl nights housewe lots fun talk ya soon
1,0,hey chica whats get ready camp monday
0,1,goober
1,0,hey talk sooo long call time
1,0,hey love new pics ibiza
1,0,hey old roomie still go la fitness got hooked cycling class go 645 pm tuesthurs instead noon
1,0,tried put pic cartoon saying il pretend hug get comment know im special reason couldnt get work sorry thought counts right haha good dont much cyber sex
1,0,sure would nice ok call itrespond plzz ok ttfn
1,0,happy new year
1,0,miss merry late xmas deffinatley hafta hangout didnt know back area call send message sumthin
1,0,happy birthday tomorrow see work ill tell happy birthday ok lol nell
1,0,tell aiden great aunt jen says understood everything said agree
0,1,sup cuz nah facebook days mum biiiiaaatch thats bulliedbut goin uni soon even bothered tell whats happening ur life thenx
1,0,dam thats bad ass backround
0,1,crazy booooomer didnt read jessica myspace mike mikey got myspace damn left two commetns one said jessica crazy ill forgive crazy ass see im top 12 might becuz mikey lmao jk hit jessica ok
