class_0,class_1,text
1,0,dec 19 around noon new york citys union square business improvement district plans first santa claus ulympics thats yulelympics 50 contestants red suits beards compete
1,0,events include sprinting broad jumping yule log rolling wreath tossing toy sack relay
0,1,games also convey another message
0,1,according clement moore author visit st nicholas santa claus picture health
0,1,stump pipe held tight teeth periodontal risk smoke encircled head like wreath heart disease lung cancer broad face round little belly shook laughed like bowl full jelly overweight poor aerobic fitness weak muscle tone
0,1,hard imagine person acting lively quick
1,0,american youth needs union square santas better example
0,1,government budget time means budget language time
1,0,budget terms technical necessities like distinction actual outlays budget authority
1,0,others gems political euphemism
0,1,recent prizewinner may work unknown new york state budget writer years ago revenue enhancement meaning tax increase
1,0,one devised euphemism equal elegance side ledger
0,1,new reagan budget skimpy detail limp initiatives page 213 offers new pearl circumlocution
1,0,administration says calls cuts benefit levels several programs
1,0,others however administration proposes carefully targeted reforms
1,0,perfect description spending cuts even harsh ones sounds innocent progressive humane
0,1,somewhere government budget carefully targeted reforms involve spending money instead less
0,1,countries threatened retaliatory tariffs new trade law entered negotiations united states
1,0,call negotiations
1,0,call banana long produces results
0,1,banana
0,1,carter years nervous white house enjoined administration officials mention dreaded word depression even recession
1,0,alfred kahn chairman council wage price stability got message
0,1,next time wanted warn economic trouble talked worst banana ever saw
0,1,months federal reserve board keeping interest rates high concern rising inflation
0,1,appears acting instead concern recession
0,1,last week federal funds rate dropped quarterpoint 14 percent
1,0,feds chairman alan greenspan asked future course fed policy testifies congress later month
0,1,even probing questioning hell probably maintain cryptic statesmanlike position something like achieved goal moderating economy
1,0,words banana
0,1,signed labeled otherwise trademarked almost everything seems designer item
1,0,norma kamali design couch
1,0,ralph lauren creates carpets
1,0,sleep slathered cream elizabeth arden scented perfume mikhail baryshnikov wear lingerie calvin klein nestle sheets christian dior
1,0,get throw bathrobe bill blass clean teeth designer toothbrush paul smith
0,1,fuels americas obsession putting strangers name even intimate possessions
0,1,probably sadly belief among many people lack chic
0,1,flaunting price tag disguised designer name tasteless insecure
1,0,right names sew clothes right place inside
1,0,paris street markets flaunted huge bouquets mimosa february small bouquets lily valley may roses time
0,1,new yorks handful street markets featured gritflecked daisies bedraggled mountain laurel
1,0,korean grocers set shop brought acres flowers
1,0,suddenly anyone two three bucks spare could daffodils living room carnations bed
1,0,rose fever began two boutiques upper east side spreading
1,0,rose boutiques sell flowers direct central america 13 dozen
1,0,new one greenwich village expected upper west side
1,0,city getting tougher live minute also getting sweeter every day
0,1,process threw shadow banking government
0,1,junketeers included senator alfonse damato member banking committee assembly speaker mel miller ralph marino incoming state senate majority leader heads banking committee herman farrell head assembly banks committee
