class_0,class_1,text
1,0,rock destined 21st centurys new conan hes going make splash even greater arnold schwarzenegger jeanclaud van damme steven segal
1,0,gorgeously elaborate continuation lord rings trilogy huge column words cannot adequately describe peter jacksons expanded vision tolkiens middleearth
1,0,effective tootepid biopic
1,0,offers rare combination entertainment education
1,0,perhaps picture ever made literally showed road hell paved good intentions
1,0,steers turns snappy screenplay curls edges clever want hate somehow pulls
1,0,film well worth seeing talking singing heads
1,0,really surprises wisegirls lowkey quality genuine tenderness
1,0,wendigo go cinema fed eye heart mind
1,0,one greatest familyoriented movies ever
1,0,ultimately ponders reasons need stories much
1,0,utterly compelling wrote reputation famous author ever lived comes question
1,0,masterpiece four years making
1,0,movies ripe enrapturing beauty tempt willing probe inscrutable mysteries
1,0,offers breath fresh air true sophistication
1,0,thoughtful provocative insistently humanizing film
1,0,cast includes top actors working independent film lovely amazing involves us incisive bleakly amusing go lives
1,0,disturbing frighteningly evocative assembly imagery hypnotic music composed philip glass
1,0,everyone connect nice departure standard moviegoing fare
1,0,scores points dedicated goodhearted professionalism
1,0,occasionally melodramatic also extremely effective
1,0,spiderman rocks
1,0,idealistic love story brings latent 15yearold romantic everyone
1,0,95 minutes treasure planet maintains brisk pace races familiar story however lacks grandeur epic quality often associated stevensons tale well earlier disney efforts
1,0,helps lil bow wow tones pintsized gangsta act play someone resembles real kid
1,0,guaranteed move anyone ever shook rattled rolled
1,0,masterful film master filmmaker unique deceptive grimness compelling fatalist worldview
1,0,light cute forgettable
1,0,theres way effectively teach kids dangers drugs think projects like unfortunately rrated paid
1,0,though everything might literate smart never took always seemed static
1,0,cantet perfectly captures hotel lobbies twolane highways roadside cafes permeate vincents days
1,0,ms almost spooky sulky calculating lolita turn
1,0,though means best work laissezpasser distinguished distinctive effort bonafide master fascinating film replete rewards willing make effort reap
1,0,like bond outings recent years stunts outlandish border cartoonlike heavy reliance cgi technology beginning creep series
1,0,newton draws attention like magnet acts circles around better known costar mark wahlberg
1,0,story loses bite lastminute happy ending thats even less plausible rest picture much way though refreshingly novel ride
1,0,fuller would surely called gutsy times exhilarating movie great yarn
1,0,compleja retadora el ladron de orquideas es uno de esos filmes que vale la pena ver precisamente por su originalidad
1,0,film makes strong case importance musicians creating motown sound
1,0,karmen moves like rhythm lips chanting beat long braided hair little wipe away jeweled beads sweat
1,0,gosling provides amazing performance dwarfs everything else film
1,0,real movie real people gives us rare glimpse culture us dont know
1,0,tender yet lacerating darkly funny fable
1,0,may spoofing easy target old 50s giant creature features acknowledges celebrates cheesiness reason people get kick watching today
1,0,engaging overview johnsons eccentric career
1,0,ragged cheap unassuming way movie works
1,0,actors much charisma youd happy listen reading phone book hugh grant sandra bullock two likeable actors
1,0,sandra nettelbeck beautifully orchestrates transformation chilly neurotic selfabsorbed martha heart begins open
1,0,manages original even though rips many ideas
1,0,singercomposer bryan adams contributes slew songs potential hits simply intrusive story whole package certainly captures intended er spirit piece
1,0,youd think america would enough plucky british eccentrics hearts gold yet act still charming
1,0,whether youre enlightened derridas lectures self derrida undeniably fascinating playful fellow
1,0,pleasant enough movie held together skilled ensemble actors
1,0,best american movie troubled teens since 1998s whatever
1,0,disney always hitormiss bringing beloved kids books screen tuck everlasting little
1,0,labour involved creating layered richness imagery chiaroscuro madness light astonishing
1,0,invincible werner herzog alive well living la
1,0,part charm satin rouge avoids obvious humour lightness
1,0,son bride may good halfhour long comes replete flattering sense mystery quietness
1,0,simmering psychological drama bursts sudden violence startling slow buildup preceded
1,0,taut intelligent psychological drama
1,0,compelling comingofage drama arduous journey sensitive young girl series foster homes fierce struggle pull free dangerous domineering mothers hold
1,0,truly moving experience perfect example art done right help heal clarify comfort
1,0,delicately observed story deeply felt masterfully stylized triumph maverick director
1,0,heart movie deftly wrought suspense yarn whose richer shadings work coloring rather substance
1,0,appearance treebeard gollums expanded role either loving youre seeing rolling eyes loved gollums performance incredible
1,0,screenplay ingeniously constructed memento
1,0,haneke challenges us confront reality sexual aberration
1,0,absorbing disturbing perhaps disturbing originally intended little clarity would gone long way
1,0,best film year far benchmark best picture contenders measured
1,0,painful watch viewers willing take chance rewarded two years accomplished riveting film performances
1,0,startling film gives fascinating albeit depressing view iranian rural life close iraqi border
1,0,imaginative comedythriller
1,0,artsy flourishes aside narc gritty movie gets days
1,0,isle preposterous thoroughly misogynistic vistas incredibly beautiful look
1,0,together tok orchestrate buoyant darkly funny dance death process demonstrate theres still lot life hong kong cinema
1,0,director kapur filmmaker real flair epic landscapes adventure better film earlier englishlanguage movie overpraised elizabeth
1,0,movie blast educational energy bouncy animation catchy songs escort entire 85 minutes
1,0,sports movie action thats exciting field story care
1,0,doug liman director bourne directs traffic well gets nice wintry look locations absorbs us movies spycraft uses damons ability focused sincere
1,0,tenderness piece still intact
1,0,katz uses archival footage horrifying documents lynchings still photographs charming old reeltoreel recordings meeropol entertaining children create song history powerful song
1,0,like films almost detailed realization early80s suburbia significant without overstated
1,0,nothing else movie introduces promising unusual kind psychological horror
1,0,normal screen process bromides would barely enough sustain interstitial program discovery channel imax 3d cliches disappear vertiginous perspectives opened photography
1,0,writerdirector burger imaginatively fans embers dormant national grief curiosity calcified chronic cynicism fear
1,0,enjoyed time favor watching surprised quickly faded memory
1,0,chicago sophisticated brash sardonic completely joyful execution
1,0,steve irwins method ernest hemmingway accelerated speed volume
1,0,refreshing korean film five female high school friends face uphill battle try take relationships deeper waters
1,0,surface loversontherun crime flick lot common piesiewiczs kieslowskis earlier work films like double life veronique
1,0,values held enterprise crew together previous adventures perils againcourage selfsacrifice patience pressure
1,0,possible sequel outshine original sl2
1,0,romantic comedy operates rules selfcontained universe
1,0,friends couples 2000 miles pabst blue ribbon beer drink ultimate redneck roadtrip
1,0,film often filled sense pure wonderment excitement often seen todays cinema du sarcasm
1,0,might tempting regard mr andrew collaborators oddballs mr earnharts quizzical charming movie allows us see finally artists
1,0,feelgood picture best sense term
1,0,edited shot syncopated style mimicking work subjects pray turns idea documentary head making rousing invigorating fun lacking mtv puffery
1,0,mostly intelligent engrossing psychologically resonant suspenser
1,0,obviation gives secret life intermittent unease reaffirming longheld illusions indeed reality erasing recasts self
1,0,scope ambition accomplishment children century takes kurys career whole new level
1,0,gentle compassionate drama grief healing
1,0,digitalvideo documentary standup comedians great glimpse different world
1,0,unlike teen flicks swimming takes time tell story casts mostly littleknown performers key roles introduces intriguing ambiguity
1,0,enthralling playful film constantly frustrates desire know truth man deconstructing format biography manner derrida would doubtless give blessing
1,0,extreme ops exceeds expectations good fun good action good acting good dialogue good pace good cinematography
1,0,pay nine bucks hear suffering afghan refugees news still unaffected dramas like make human
1,0,classy item legend may nothing left prove still chops drive show done
1,0,nature progress fessendens horror trilogy theme proved important especially finale
1,0,imax made strap pair 3d goggles shut real world take vicarious voyage last frontier space
1,0,merely technical logistical feat russian ark marks cinematic milestone
1,0,great deal sizzle little steak spectacular sizzle incarnation fizz infectious
1,0,original gem obsession time
1,0,delight newcomers story know bygone days
1,0,film overcomes regular minefield comingofage cliches potent doses honesty sensitivity
1,0,senses havent dulled slasher films gorefests youre connoisseur psychological horror ticket
1,0,minor comedy tries balance sweetness coarseness paints sad picture singles scene
1,0,intensely personal yet unlike quills deftly shows us temper times
1,0,lofi special effects folks cobbled nemesis together indulge force humanity hardware way george lucas long forgotten
