class_0,class_1,text
0,1,many people still sleeping 7am make renovation pissed one trying sleepy
0,1,love nights sit home nothing one talk
1,0,indianapolis beautiful city world right colorado
0,1,im saying shes slut im saying shes pounded times pixar
0,1,brits subtlety ramp drama bit scene needs shouting
1,0,waiting appointment dentist best kind thursday morning
0,1,islamic eh fight name makes sense
1,0,omg cant belive followed like fangirl much
0,1,wooow witness story makes totally sense doesnt feel forced
0,1,careful talking especially loaded
0,1,porsche convention hunt storepretty sure jealous drove ford fusion
0,1,dimwitted trash yeah real jealous
0,1,women idea like
1,0,dont worry guys next home game fireworks night everything ok
0,1,course cause find civic duty pay gov god
0,1,im glad know well tell ive upset past 20 hours
1,0,im enjoying much like hell yeah whatta bout guys
1,0,love friends love going
1,0,administration played right hands thanks lot really
0,1,love indirectly called trashy smoke tattoos
1,0,rihanna superstar athlete makes perfect sense
1,0,uffda sounds like charming fellow
0,1,daniel lone wolf dont islamophobic
0,1,changes everythingagain seriously though could anyone get excited another iphone especially seeing
1,0,omg run government media everything please views perfect could teach everyone everything
0,1,im freezers day gets better better
0,1,young angry protestors hong kong best friend leo violent example
1,0,final play game last night guess missed one huh nba job well done
0,1,lovely sunburn yesterday
0,1,omg connect xbox live using iphone hotspot longer isp routermodem thank
1,0,love steel salon wifi
1,0,see bestie remind hurry get home watch game
1,0,great john boner speaker im sure gave obama 3rd term would better job
0,1,god respecter persons long jew merican
1,0,amopa flinging dead foot skin average pumice sexy
0,1,predictive texts works way first apple maps worked
0,1,another horrendous looking day santa barbara
0,1,dont fooled average smile sarcasm devil inside yet come
1,0,great play
1,0,glad started cousins fantasy putting show
1,0,cbi nsa ib raw must retire times great job
0,1,roomie sends horrible snap one friends gtgtgtgtgt syroommategoals
1,0,aw guys chill good morning texts
1,0,fantastic end birthday
0,1,get wash sink full dishesy
1,0,day mothers day always heartwarming see mom sons working together
0,1,flight delays sold situations thanks wonderful experience
0,1,barileia heaven forbid encourage non rape culture campuses story ridiculous cc
0,1,much crap cool
1,0,day great start
1,0,lol loveeeeeeeee lifeee
0,1,minorits robbed rights minorities yes makes sense
1,0,first football game tomorrow get wear dress code yz
0,1,yeah lot fish sea looks like suck fishing
1,0,omg wants make song
1,0,thank goodness cools september 3rd straight day 95 degreeshumidity
