class_0,class_1,text
1,0,love marilo understands hair type knows exactly hair keeps record previous visits recommends best hair pleasant work easygoing friendly respectful ive going since 2008 im really picky hair people used go back chicago haircuts stick marilo
0,1,went petco times bit appalled rodents section perfectly honest granted wasnt bad could opinion unacceptablefor one thing six seven rats packed one cage dont quote im 100 sure regardless details way small number rats werent unhealthy didnt look sick definitely didnt look particularly healthy either guinea pigs really shocked though know anything guinea pigs youll know need lot space even one cage size rats cage barely enough room walk much less exercise popcorn guinea pigs often two guinea pigs packed thing way way small one baby guinea pig also didnt look clean cages opinion grungy whole place felt grungy grimy obviously werent cleaning cages everyday would unfair animals anything least small cleaning daythe prices indeed pretty good least better prices petsmart usually go theres one point petco last employees nice cheerful yes politely point guinea pig cage way small healthy happy trying hardest polite although could come across rude one talked immediately turn defensive telling temporary take every night dont believe maybe petco employee correct make face telling theyll tell manager even wont may right like good employee wouldwant customers come back heres good tip dont tell theyre wrong something rudely correct obviously trying rush humor even wrong would recommend shopping dont take good care pets employees rude care animals plainly dont good prices dont make thati apologize made long thank read regardless whether agree
1,0,great sushi rolls byob friendly staff three lunch 25 per person including generous tip love place
1,0,sushi amazing made daily store authentic sushi chef rolls beautiful delictable actual sushi restaurants pricing good 12 piece brown rice spicy tuna 799 beats happy hour pricing really fancy rolls typically 810 produce selection broad well including organic sectionthey also match competitor coupons use 30 fresh easy go therethey also good prices wine larger selection wine stores
1,0,great food atmosphere plenty tvs watch games chef patrick fegan partners tk urban tavern scottsdale quarter opened great location pumpkin soup pumpkin oil croutons great start fall season wood fired oven pumping flatbreads sweet potato gnocchi made house roasted corn gorgonzola crema unbelievable impressive selection beer handles delicious cocktails amazing view sunset well cant wait return
1,0,place great love mint chocolate chip yummmy bit size cup 299 always gets loaded love
1,0,place amazing come least month never disappointed food service always great buffalo burger tdf well bruschetta outside seating cute lights great date nights live music inside wonderful touch place great meet friends family date night truly scottsdale must
1,0,read scramble line thought would go brunch loved santa fe eggs benedict amazing staff friendly ambiance incredible would highly recommend place anyone
1,0,love love place currently live chicago next baron japanese markets mitsuwa love place even although large mitsuwa doesnt variety service spot prepared foods deliciousi ended buying nigiri plate unagi dish served rice
1,0,thought sweet tomatoes brand new walked clean everyone friendly attentive staff location class act salad bar topping well maintained fresh especially liked array pasta salads tarragon tuna asian peanut favorites soup lover could spend entire meal alone got second ok third helping spicy sausage pasta beans pizza good hot pasta selection definitely plan coming back againeven though closest sweet tomatoes far best ive valleykudos
1,0,boyfriend decided take son gelato yesterday seeing reviews place decided try purchased fantastic deal available went arrived person dealt super personable helpful let us try flavors wanted make sure would get one liked trying african dark chocolate knew id found new love absolutely delicious boyfriend son also huge fans definitely back havent checked place yet definitely fix
1,0,honestly say ive laughed dinner theatre cast witty funny seen two shows always wish invited friends im glad started shows west side discretion youre looking normal conservative show may best choice box interactive thats love
1,0,local boy hawaii made quest find place reminds home living phoenix yrs nowi finally found place subdue craving korean style plate lunch plate lunch term us locals like call plates bbq local eatery normal plate get ono hawaiian bbq bbq hawaiian places every entree comes rice mac salad korean style plate lunches come rice sides like mac salad kimchee cucumber kimchee noodles corn salad seaweed plus choices thas key difference far place found thisi like place compared hawaiian bbq spot serve meat jun sides meat jun thinly sliced marinated beef egg battered pan fried served slightly spicy sauce also korean entree originated hawaii dont really expect find korean restaurantsi recommend people try place
1,0,ever somewhere service made morning chinese couple sat booth next server came food delivered softly asked um say thank language told xie xie though spelling probably smiled bowed said xie xiehis manners approach openness like warm hug could brisk point could said thank could even surly chose take 20 seconds reach total stranger im saying makes cb best place ever sure gave smile start long day grateful ancestral language tusen tak
1,0,mentioned girlfriend never postinos said really well treat wasnt kidding said wine bar wont get crowded late june 109 degree temperature new location central north camelback four us shared bruschetta selection got pick share enjoyed brie apple wfig spread fresh mozzarella tomato basil ricotta dates pistachios warm artichoke spread portions generous bruschetta cut dont struggle anyone knows well knows always slice sandwiches 4easier eat wine glass 11am5pm days weekyay
1,0,love place ive eaten times one thing standard ever sure go dinner go place love
0,1,went thanksgiving brunch lv bistro excited included tasty food fairmonts restaurants experience wont back impression world class resort however service received restaurant would expect applebees dont get wrong property beautiful valets friendly helpful providing us directions lv bistro brunch held hostess friendly quickly found reservation directed table sat waited greeted server drink order waited waited 15 minutes sat woman approached us asked waiting another join party began filling water glass told werent waiting quickly turned disappeared leaving half filled water glass water spilled table behind another minutes later server tray drinks appeared told us would right us dropped drinks greeted table sat minutes passed female server greeted us began taking drink order giving us lay buffet male server returned see needed anything else got drinks found buffet things went somewhat smoother time realized cold 62 degrees arrived doors dinning room wide open buffet outside seated outside got space heaters inside got sweeping breezes would expect type setting would much understanding restaurant busy got noon wasnt fact countless staff members wandered around floor diverting gazes hungry confused stares wanted alert hostess situation asked companions server understanding ridiculous buffet needed greeted get drinks reason wait 25 minutes greeted seriously shocked manager hostess making way past us repeatedly failed notice either expected wonderful experience food good overall experience fell short didnt feel worth 70 price neglected freeze
1,0,great store competetive prices super good selection beer smaller store
1,0,great place go able get sameday appt doctor nice great id definitely recommend
1,0,one nicest spas ever went first time several years ago remodel way smaller memorable remodel facility amazing beautiful relaxation room lay cuddly blankets read take nap eat yummy snack mixes laid steam room sauna awesome showers showerheads everywhere also little outdoor private area jacuzzi outdoor showersi stone massage hoped would never end walk room give choice around different mixes listen ipod depending mood thought pretty cool staff attentive friendly wish could time use gym looked really nice also would highly recommend spending day spa oh think summer special right show az drivers license get 40 thats pretty great savings considering cheap place get massagemake day wont disappointed
0,1,got food poisoning simple caesar salad worst food poisoning ive ever seen boyfriend called inform manager didnt seem care told us would get back us didnt work mill never back go dont get salad
1,0,experience papago brewery spend time four peaks time mood good beer like arizona peach ale hefeweizen usually order veggie pesto pizza chicken enchiladas know probably thinking thinking enchiladas brewery delicious always take home leftovers good next day husband predictable always orders salmon blt con wish four peaks better happy hour maybe 12 price appetizers would bring often regardless still keep going back
1,0,great selection bakery items sandwiches pasta salads breakfast items everything tasty fresh order cash register station get drinks bring order table ready comfortable casual wifi available breakfast morning table moved several comfortable chairs finish coffee read newspapers left definitely one go places area
1,0,yes admit family watches triple said wife joints showcased show many started journey like find killer places okay places matts killer placemy wife recently phoenix area part vacation planned stop breakfast matts first morning got 8am saturday morning wait 15 minutes yes place small two us challenge tables total assuming setup counter spotsthe food awesome good changed plans went back next morning hadpork chop marinated pesto eggs home fries side bacon toast tasty home made jelly pork chop die big pork chop breakfast fan usually disappointed matts tender cooked perfectly eggs cooked exactly like asked bacon like think slices heaven bacon mornings breakfast bacon fan usually bacon would make anything taste great wife daily special chicken sausage fresh spinach fontina cheese scramble cooked perfect greasy big flavor home fries incredible nice crust rosemary caramelized onions pretty close perfectthe next day wife waffle liked fresh maple syrup real star dish kind enough pass bacon know twist arm breakfast special sirloin steak eggs hash browns steak super tender cooked exactly asked tell experience often obviously good cut meat seasoned nicely hash browns nice crust sides tender middle exactly would hope lastly toast home made jelly like butter nothing like store bought jelly jelly fan ate morningsas service pretty good slammed first morning pleasant family atmosphere really made hustle bustle bad second time went remembered us took time talk minutes show appreciation us coming back soon nice touchoverall favorite breakfast joint triple whenever travel phoenix plan stop would highly recommend anyone wants breakfast cooked way
