class_0,class_1,text
0,1,ok ok get idea looking source page easiest anyone else find watching paint dry discussions html come interesting motor sports
0,1,body seems telling take easy week sure hasnt happened week ive spectactularly exhasted apparent reason times already normally cope wanting training bit planning go afternoon dont know im injured sleepy go
1,0,hi taz hope new physio instills confidence expensive trial trying find one feel happy effective eternally grateful colleague recommended cant believe different feel last week havent run yet next run tomorrow shall carry spending much time legs prevent problems believe impressed results feel confident things come right end going super dooper careful hope get good news least feel happy diagnosed tonight let us know get
1,0,enjoyed supporting cant blooming speak tho
1,0,noticed st johns people around route course didnt quite appreciate scale turnout went tent end ice ankle didnt realise many country let alone london well done thanks
0,1,malt used last years schedule prague marathon years schedule flm times followed letter times really bad runs prague 409 flm 416 easier conditions previously never done marathon hours never thought would dont know schedules getting old problem im sucker someone else telling probably follow next years schedule well whatever turns
1,0,ah ha new number play trick phone calls leave legless saqib eddie alonehas anyone else getting legless sick jokes via text message making laugh though humpless 430 dont finish 630 meet liverpool st station 640 want otherwise meet around
1,0,thanks jj 15m run tomorrow longest run yet ran 14m last weekend 12m weekend miles metres hope good run knee holds foz
1,0,figs definitely want big race make sure leave plenty time twixt breakfast last chance
1,0,excellant job meerkatwill hanging rw 11min pacer dear life hope reaching mile 18 rewarded jbs meerkat jj thank advance incase incoherant hiya suttsready
1,0,good luck everyone although luck wont come even bad luck smile finish camera
1,0,thanks welcome everyone friendly bunch arent taking rest today last 22 miler planned tommorrow eek starting taper blackpool mmmlooking forward already lazy saturday mornings 20 june sarah peter im planning first tri year london tri july baby sprint tri end last year could hardly swim lengths without stop im 50 lengths twice week speediest fish pool speak much comfortable thought open water swim wetsuit bit scary though ive also got new speedy almostroadbike bit hybrid skinny tyres revelation years using heavy granny bike makes cycling fun anyway good training nice bank holiday weekend everyone tm
1,0,done domestic duty go 10 mile run hilly think enjoy training actual racing nice get away go offroad hours switch completely 25 miles tomorrow others club almost offroad followed podrettas 7th birthday party olympics party leisure centre lots carbs jelly ice cream
0,1,rfsounds like change name elastiman cant touch toes straight legs podiatrists verdict sesamoid bones ligaments run ball left foot need take easy regarding running might mean ill defer flm 2006
1,0,ooops wc well done ive reading sussex half certified course appears short think may made right decision
0,1,quite nice injured done slow miles round block came back lots stretching ice massage booked tomorrow dreading cause legs sore small amount massage friday hope everyone well today im looking forward reading tonight
1,0,stops lurking hi hope dont mind joining late stage ive spent last weeks dilemma target time forum join first marathon longest run 21 miler last week 330 im hoping sub 430 allowing unknown last miles really good read everyones ups downs forum week definitely feeling overtrained week hoping various niggles settle taper hope everyone enjoys shorter long runs tomorrow im 13 miles along thames boat race course back great running ice cold jezza
1,0,dont stop im good time im ball dont stop wanna good time give call dont stop hippo reason didnt think hd always sound centred together another word cant think good evening make probably signing need put kids bed pack try come morning ill never catch train good luck still thanks maybe see diana delia hippo others expo andor bandstand really hope remember supposed free lets enjoy esp us yes really
1,0,last post flm good luck everyone fun
1,0,hummm think might shirl sure tomorrow let know soon poss
1,0,lucinda go get em tomorrow natalie go get emertonight rick oh rickhere boy waves nice full glass red enticingly
1,0,shades yes international certificate competence motor yachts charter skipper boat anywhere world perhaps sub holiday cruising med caribbean delia wasnt golden bond runner havent got marathon pics yet believe take quite long time
1,0,surprise hey rick
1,0,jane thanks thats true didnt learn till went big school hee hee anyway attention going superdebbo grump ol
0,1,4ish miles easy probably close 10 mins couldnt gone ay faster half didnt seem suffer much complaining pace must going slow however fell end run landed hands face dont ask knees escaped tripped pavement discharged physio yesterday sore si joint today wondering gone backwards bit panic
