class_0,class_1,text
0,1,watch guys japanese girls get pissed become extremely violent getting ketchup clothes
0,1,fces
0,1,course rendition secret torture prisons american change bush change wont believe
0,1,better lets drive hummers fuck world bandwagon
1,0,article author lucy juvenile laughter
0,1,leona helmsley went jail tax evasion others get cabinet positions hah
0,1,stimulates economy make tax cuts increase spending time youre talking aboutbrbrthe problem stimulates economy expense future cant cut taxes increase spending indefinitely despite cheney claimed increased gdp making shortfall thats ponzi scheme hes moronbr
0,1,commercials worse actual show
0,1,lay pay
0,1,sad sad story ever hope futuristic society flying cars war sickness make drastic changes ending bullshit one time soon
0,1,psst youre trying hard
0,1,hi mowebrbri questions understand islam must believe taught prophet cannot disagree lest longer muslim correctbrbr1 feel duty husband discipline wife via physical beatingsbrbr2 feel doctrine explains ok man several wives marriage little girls 10 years middle aged men weeks back judge refused annul marriage saudi arabia mother pleaded 10 year old girl married fathers 47 year old friend repayment debtbrbr3 feel fact testimony worth half mansbrbr4 feel muhammads doctrine allows temporary marriages order allow soldiers sex women leave rights temporary marriage mind still goes certain muslim examples view unreasonable demands islambrbri cant answer question people convert islam people convert scientology well even though many consider dangerous cultbrbri however heard many stories left islam especially women stories abuse subjugation horrificbrbr
0,1,considering dhs send undercover agents likes code pink really doesnt need reasonable explanation par course
0,1,story isnt marijuana even legalized swat teams continue execute noknock warrants going cocaine ecstasy heroin meth pcp etc continue abuse power authority way box contained kilo cocaine owner house wasnt mayor town random citizen unlucky enough address picked drug dealers drop youd probably never hear story cops would lie like apparently getting warrant wasnt noknock warrant trying cover fact claiming man opened door slammed cops face dogs threatening cops marijuana wont stop abuse police itll remove one many reasons abuse power
0,1,understood basics us politicsbr wave bible front crowdbr promise tax cuts gunsbr tell usa rinse seat congress securedbr
0,1,big deal people assume successful people dont
0,1,one reason use comcast
0,1,choose inaccurate bury
1,0,knowing betwhen bet make people think good hand even dont dont need good hand win even bet right still lose similar football something wide reviever skill generally escape defense never catch 100 passes thrown
0,1,religious right right liberal left tries pawn evolution bullshit onto tell wrong tolerate bullshit fuck
0,1,dont worry douchebag biden tell oprah
0,1,maybe would left didnt bribe distribution companies follow blewray path
0,1,family killed war would think killing innocent civilians would good idea answer yes moral compass
0,1,digg needs start banning god damn asciis theyre annoying hell
0,1,waiting killing
0,1,yeah lets ban everything victory ginbrbrwar peace freedom slavery ignorance strength
0,1,im plan love love love analogies ideas come pass vampiresboard directors corruptsilly politicians sucked last dollar economy funny though theyre ones left money longer value
0,1,sure looks like helicopter malfunctioning
1,0,god would love untie bowtie
0,1,send brick dog turd wonder much itd valued
0,1,know people said really dont think typical scamif send property away without knowing worth blindly accept someone says worth fool power cash4goldbrbris really different best buy extended service plan upgrading ram dell buy new computer getting rustproofing new carbrbrfulltilt capitalism maybe scam ehhhhh
0,1,title suggests several missing links big disturbing puzzlethe links usually discussed acceptable truths links conveniently left documentaries cia dont think rabbit hole goes much deeper single film could ever capable missing links highlights several culprits behind curtain hidden safely shadows fraud century brbrpnac cornerstone 911 ask sibel edmonds ashcroft invoked state secrets privilege silence completely prevent revealing truth crime networks weaponsarms trading profiteer deals afraid speaking court law oath knows coverup got hide intense secrecy innocent party acts 911 transnational scandal would embarrass far many important peoplebrbrany wonder pnac think tank group new pearl harbor put majortheater war manifesto motion coincidence never investigated questioned held account probed much less mentioned analyzed slightest usual paidfor talking pundits controlled fake news networks speak
0,1,read study bible entirety say anything like least research something man waste diggs bliss useful
0,1,walked streets seoul white man short haircut stfu rest rant subject
0,1,yeah im sure gave one friends doubt four high school senior girls upscale community cellphones sarcasmbrbrim rochester always said texting came big talking phone driving thats problem dialingbrbr
1,0,dude like gate keepers 21 could control phone explodes look good skirt could best thing ever
1,0,people play competitive creative sure things fun certain people detour getting play game without worries simply fun best even good matter
0,1,hes great actor gets everything wants people drool everything surprise youve created monster
0,1,morons buy
0,1,however wish pulled bill obrbrbut isnt anywaybr
0,1,may want watch television ad playing join blogs fight bring america back common sensebrbr
0,1,people search engine nothing stupid enough bought whole web 20 cloud bollocks yes theyre going shit really shit google doccers daft enough local copies corporates stupid enough running email system gmail brbrthe rest us go meh use something elsebrbri dont use gmail dont use google apps google disappeared completely id click arrow next google icon search box firefox choose another list thats completely utterly irrelevent google life ill use isnt ill use something else recently though using something else ixquick seems better google
0,1,idiot nutcases posting antimarijuana propaganda government websites need watch bbc documentary called smoke dope done journalist compared pot alcohol smoked different types performed sorts experiments intoxicated guess everything government telling us pot lie conclusion pot less harmful alcohol
0,1,yeah money debate amp discourse bailout bill passed record wees time absurd exhausted forecefully bent cant recognize run
0,1,fairly ridiculous shitty htc winmo phone full browser flash hell adobe already flash preparationif done winmo give break apple let go leash brbrcorrect im wrong flash windows mobile
1,0,games arent responsible responsible choice
0,1,vitriolandangst said cuba damn embargo us past 40 years nothing trade embargo set trade restrictions judging incoherent comments thread however ill forgive mistake simply product elementary exactly right relying domestic production terrible economy also check north korea
1,0,thought original sound recording need mashup oreilly
1,0,nvidia sold today would buy one pair windows great htpc
0,1,blue stinger fun made absolutely sense confusing game ever played includes metal gear solid
0,1,well maybe something fact title says concept
0,1,nothing wrong options work
0,1,clearly way noumuon make friends making fun everyone else hoping people like
0,1,dont want walking shops fear granny packingbrbrand precisely fear granny packing think instant someone starts carrying firearm become ranting raving murderous maniac hand someone willing commit crime murder probably isnt going worry whole lot getting charged illegal gun idiotic gun bans arent going anything stop
0,1,pretty useless incoming mail goes one category anyway porn
1,0,ive visiting shacknews since called shugashack quakeholio hope steve co stick around
1,0,see brbrits based accusations trials
0,1,tie dugout beam duct tape
1,0,like idea replenished seconds new cartridge methanol something owner professionally done battery life
0,1,comments suck
1,0,ahaha loved sumo one
1,0,lil krazy like football
0,1,dagger verses rajim probably existed even would still irrelevant curtis said muslim world muslim religion claiming stoning prominent culture
1,0,cool since joomla supports mootools li default means use technique integrate flash joomla become joomlabuilder flash pocket thanks
0,1,right maybe really cool talk great pot much love awesome
0,1,digg tells much comment tells oifdas0ifas908 2309oijdf iaso9034 1092839wsads
0,1,time heard bit news bales favour fact everyone considers supposed meltdown news pretty much beyond comprehension important scene idiot dp mucking around back hope never gets work field work
1,0,looks like sheep laughing picture
0,1,fact promotes islam isnt whats shocking fact hidden obviously religious product say christianity light would either obvious front religious would probably bit research apparently theres lot controversy whether actually saying islam light say probably gross overreaction grow soccer moms
1,0,ive seen demoed book storesbrmaybe get ebook free buy bookbrbr
0,1,dont see couldnt suck unless load robert downey jr many narcotics body handle let come stage tropic thunder blackface getup drinking thunderbird wine give acceptance speech ebonics laced dead heath ledger jokes
0,1,aeroflot like aeroflop
0,1,actually prosecution lowcountry beach area outofstaters year two ago
1,0,know thats ok
0,1,people still give shit scott stapp chad kroeger last heard creed broke years agobryoure living past dude
0,1,really use nonword dooshbrbrwow ironic
0,1,economic trap
0,1,dont see matters talking long whats said true sides largely comprised stupid politicians evil politicians pandering stupid voters
0,1,reason people endorsed bushs illegal policy
1,0,eminem really quite genius also public persona real personality actually somewhat quiet nice guy course people see public side celebrity
0,1,get postponed swear specific people fucking idiotsbr
1,0,sorry double post much better representation game shows also sounds miss targets
0,1,batshit insane
0,1,profit investigating months detail wore strapon
0,1,wont kill us necessarily lot scientists say cause lot deaths likely scenario field wont collapse entirely merely confused intensity decrease somewhat two north two south poles couple days weeks
0,1,true thet world end moment without warning thats always tell people exactly think may never get another chance
0,1,first people hitler murdered large scale mentally handicapped didnt meet expectations master race german people furious rose aprobation soon stopped next group people exterminated jews communists homosexuals intelligentsia people knew program headed teachers university professors today teachers professors country bright enough deprogrammed enough threat anyone however blessed surrounded 15000 intelligentsia 9208 stpaul minnesota knew tip iceberg brhitler took everyones guns roundup pussy gestapo agents could job easier fema et al really think real americans quick surrender germans really think going go without fight brthanks post stop talking fellow americans
0,1,understand unstated digg etiquette close comments sarcasm meant sarcastic trolls unfortunately killed subtleties
0,1,yes yes didbrbrafter breaking stealing unbrbronly could distribute food political allies leave rest 5th time youve posted contradictory story quit spamming go home
1,0,welcome digg
0,1,im able see new shouts time
0,1,volt volt keeps getting pushed future reason might actually produce theyre getting desperate cant seem compete japanese companies traditional car market
0,1,captain picard causes destruction humanity hes hell
0,1,comes story hurricanebrthe man authorities came blamebrfor somethin never donebrput prison cell one time coulda beenbrthe champion worldbr
0,1,wtf digg
1,0,vote nathan fillion new green lantern
0,1,way according koranimals diggcom hamas would never something like must zog media manipulating world orbrbrbrthe fucking truth hamas bunch terroist animals would kill anyone anything long also kill jews group animals need extinctbrbrand hamas supported spewing lies digg become stronger powerful pox houses may suicide belts defective kill entire fucking familys camel dick smoking back work
1,0,lold
0,1,assume execs involved bailouts would actually affected brbrthink againbrbrdo little pocket obama book yet thats full wonderful sayings chairman obama
1,0,use adobe strictly corel preference thing adobe though lot easier use
1,0,man sexy
0,1,feeling lot chinese connections anon proxies tor nodes use tpb doubt much chinese stuff
0,1,sodade used stoner ruined life itbri also victim drunk driver alcohol brdo need fucking explanation bri dont care productive isnt reasons really bother someone mean live life broh mention people know smoke dumber bunch rocks bag act stupid theyre also criminals sort like wasbrbrbut already said wanted legalize drugs woooooobr
1,0,wowgood catch
1,0,one reminded psa played tv kidbrbr018 kid loves pretend dinosaur
0,1,remaking rocky horror seem well way remaking every film mentioned science fiction double feature ugh
0,1,poison ivy put pipe smoke dont really die
0,1,one people commented site bet lot birds gonna meet doom mirrored walls
0,1,jesus christ everyone attatched obamas balls hasnt done good yet anything people exactly whats wrong cocksuckers sharks
0,1,ball attached cup string cant go anywhere
1,0,wow site incredibly similar lifehacker
0,1,dear natural selection please job asap thanks
1,0,actually need start looking valentines gifts
0,1,looking entirely practical standpoint obama could wear leopard speedo long feels secure job best professional dress codes regardless personal comfort required many usfor senior executives business sleeves done behind closed doors front high ranking internal staff ultimately president americas chief executive may give shit appearance factors perception peers carry america abroad regarding respect people represents
1,0,cool sounds like one feature gamevee
0,1,fuck
0,1,cocks shotgun
0,1,blame remember correctly republic long incumbents continues give constituents want matter short sighted gains continue get elected lets face nation spoiled selfish children part
0,1,watched hated every minute couldnt stop like driving car accident dont want slow look cant help except time accident involves clown car transsexual hooker squad bored cheer leadersbrbrgod damn didnt number japan atom bomb
1,0,lol
0,1,critics completely offbase know digg community loves lists than1000 people wind digging article sad day
0,1,great commentary dont want cheney leave country want bush amp cheney family assets seized help pay destruction caused want held accountable crimes many listbr
0,1,impossible beat million song
0,1,jfc cares cares bush says none less douche bag worked says bush get find something relevant write aboutbrbrin response andrew card controversy controversy diebrbrwill andrew card issue apology fing cares neighbors cats sh1ts lawn cat apologize press coverage
0,1,hate teams honest brbrray ray shoved took shot foul floor im quite sure bonus time brbrand saying game would close someone shot better angle like saying anything dont
0,1,katt williams coming youbrbrsigned dea
1,0,absolutely amazing props
0,1,quick lets pass another hurried bailout bill
0,1,sheesh thought fight tough cali
1,0,dugg title
1,0,beers worry tomorrow
0,1,guess planning bailout penises money
0,1,first read headline thought stopped several times several different officers little disappointed one long event brbrquestion break records
0,1,isnt twitter name vibrating buttplug
0,1,know bush 23 approval rating
0,1,theres shame failing driving test couple times 771 must complete idiot driving test beyond memorization talking tries sevenhundred seventyone come woman get head ass
0,1,buried inaccuracy name top players thats tiger woodsbr1 tiger woodsbr2 tiger woodsbr3 tiger woodsbr4 tiger woodsbr5 tiger woodsbrbroh shi
0,1,thing surprises story still station carrying air america knew
0,1,useless vista ads
0,1,said long ago houstonpress back back articles slideshows 100 photos something would never made frontpage required reloading page 100 moreso times go set also site went literally obscure suddenly extremely popular recent submissions previous articles submitted site
0,1,wouldnt classify debate basically dumbs enough make anyone ask serious question ass really made tucker look like ass point cant answer serious question serious answer
0,1,ramen 10 cents packet splitting 10 ramen 10 people
0,1,read article head
0,1,wording stimulus bill says government bailout money cannot used churches ban religious worship brbrthe wording bill said nothing kind suggest actually read text couple lines demint questioning context entire section american recovery reinvestment actbrbrpriority funding given higher education facilities included declared emergency funds administered state departments higher education distributed proportion number students school brbrall schools receiving grants commit spending 25 percent grant projects certifiable green building standards leed green building system etc brbrthe grants used wide variety renovations improvements primarily used instruction research student maintenance systems equipment facilities including maintenance associated permissible uses funds described paragraph 1brbr modernization renovation repair stadiums facilities primarily used athletic contests exhibitions events admission charged general publicbrbr modernization renovation repair facilitiesbrbr used sectarian instruction religious worship school department divinity orbrbr ii substantial portion functions facilities subsumed religious mission orbrbr construction new money used projects facilities primarily used instructionif facility primarily used instruction religion school divinity grant money cannot used renovate improve facility least 25 percent grant money spent green building projectsbrbrim certain bit bill discriminatory though seems likely wording vague much usage substantial government withholds money would granted improvements facilities used type instruction brbrnot exactly equal treatment eyes lawmakers brbrdemint appears grandstanding proposed amendmentbrbrto allow free exercise religion institutions higher education receive funding section 803 division abrbrthat said think entire bill travesty dont get debt digging ever deeper creditors pockets brbrthe complete text billbr
0,1,investigation ag regular client ags brother regular client ags best friends regular clients go
0,1,executives done troubling equally troubling government telling shareholders much pay executives said sen mel martinez rflbrbrsenate minority whip jon kyl raz blamed tone deaf bankers creating political environment allows obama call cap brbrbecause excesses bad things begin happen like united states government telling company pay employees thats good thing america kyl told huffington postbrbrbut said inhofe listening make statements thought still america really tell people run business pay much paybrbryou fail reading post means agree mebrbrsorry doesnt work way say buriedbrbrbrbr
0,1,havent studied maines leadership enough declare rinos otherwise understanding maines longstanding secessionist movement
1,0,think like baseball hitters babe ruth homers also strikeouts adhd ppl extremes bell curve
0,1,hell rational obama supporters go
1,0,im really honored recall economics student actually im graduate mba school loyola chicago part time mba program ranked 8th best nation part time
0,1,bad joke ixam
0,1,exactly people dont give kids medication best interest child best interest parents lot work parent raise child able function well society despite disorders may much easier feed pills
0,1,hmmm walks back bed scratching ballz
0,1,shrek porn coming
0,1,makes little difference look homerun records obviously able practice much long periods due drug use effect reaction time coordination
0,1,perhaps learn spell attacking someone jokes
0,1,moron thought bird going holding pole
0,1,melbourne didnt burn dickhead youre worst mediabrbrmy thoughts go friends family 35 plus people lost loved ones throughout rural victoria
0,1,disagree ending death penalty entirely certainly see need make harder impose thought long time need higher standard proof beyond reasonable doubt convictions right overused word jackals truly deserving word monster deserving caught scientifically proven guilty world better deadbrbrwould help full review case conviction sentencing make sure conduct police completely board prosecutors actually turned evidence required defense competent judge conflict interest political agenda forensic tests done certified techs properly calibrated equipment etc conduct involved needs examined isnt completely reproach death penalty table life without parole becomes maximum sentence
0,1,sure hack genuine advantage bs shut authentication serversit another drm nightmare
1,0,really nice list resources
1,0,still two copies win 98 absolutely need run couple ancient machines said enjoy able use windows relics certainty dont expect continue getting security updates support
1,0,interesting get stuff mrbabyman
1,0,good
0,1,alaska corruption
1,0,never thought id boat
0,1,people think iran completely peaceful nation would never anyone wrong going ignore kind stuff iran directly attacks israel theyre stupid recognize significance iran using hamashezbollah proxy fighters
1,0,words make smile spite cruelty
0,1,didnt mean spending place live mean fancy sorry didnt make clear
0,1,body bags brbrthis change voted
1,0,say drugs
0,1,curse kabbalah upon aroid
1,0,love everything preset like camera drivers email client contact parents
1,0,kidding one 5x funnier
0,1,first one hour ago two list list morning waste anyway
0,1,easier molester republican liberal mothers would balk handing year old 52 year old man nightbrbrpalin type moms like oh nice christian republican man ya go
0,1,dont hype movie like nightmare christmas
0,1,moneybrnobody disputes thatbrbr moneybrbr blissbrbr healthierbrthey afford better healthcare see abovebrbr likely religious ie get pregnant gotta get married moneybrbr like communities betterbrbecause afford live better communitiesbrbr like jobs morebrbecause pay morebrbr satisfied family lifebreasier less worried moneybrbr like weather betterbrum ok thats great maybe republicans live southbrbr fewer financial worriesbrno shitbrbr theyre likely see better life parents didbreasier make money parents starting something selfbrbr theyre likely feel individuals rather outside forces control success failurebrsure individual parentsbrbr value life moneybryes least buy itbrbrdid even read information link postedbrbras well known republicans average money democrats turns money happiness tend go hand handbrbrincome greatest impact predicting happinessbr quoted linked like money nothing republican
0,1,funny part burried dugg
