class_0,class_1,text
0,1,smoker mainland britain consists englandscotland wales possiblewhy didnt bush blair sort achieve democracy invading iraqit could saved 650000 lives
0,1,hmmmthe guy took government number one terrorist everyone take question government hands american terror list anyone shakes hands rumsfeld middle east becomes terrorist years latergtgtgtgt saying theyre regular muslims
0,1,yes lets forget people flight deck aircraft copilot would also hands full part get annoyed ever refer hero pilot remarkable casualties must thankful different tack see lawyers rubbing hands glee broken finger nail damages etc watch space law suitsguaranteed
0,1,hes religious fanatic worse average cretin
0,1,ill cancel binoculars ordered
0,1,cheddi grounds israel give jewish status make arabs happy think jews said want live saudi arabia want change stauts muslim state become democratic one jews living part world naighbor wants something using violence try get change national identity keep enemy happy either enemy willing accept reality using diplomacy want use violence use violence back crush dont say give going give identity happy arabs give terror accept option avalible states based exactly 1949 ceacefire borders use terror dont get states dont get israel agree give status jewish state organistion like un country us included make israel change stauts never going anything arab fantasy
0,1,seen tv results latest drone missile strike tribesmen included stretcher cases taken hospital interesting look footwear stretchers combat boots
0,1,im surprised found things better spain uk go david know zidane faced enormous shameful levels bigotry france
0,1,gtbut charge black victims deliberately ignored shows ignorance true issues factslt blacks saying course whitey knows best nword feel think oh times havent changed
0,1,sarah bush cos oil nothing new ego thinks like mum teh choosen one russia china never go war iran russia opposite us want play dominate role china well oldfashioned need oil pay
0,1,previous week funny time mods bother close threads begin counter thread islamic terrorevidenced fact could still post dont worry mods going bother retrieve alberts spam point made
0,1,think former british ambassador us probably close mark said blair almost drunk adulation recieved america ego thoroughly massaged like politicians obsessed called legacy hes got alright
1,0,democracy dictatorships different reasons
0,1,maybe maybe didnt quite frankly face mass aggression idf defacating palestinian homes using children human sheilds blatant use wp weapon rabbis telling soldiers fighting god admitting orders shooting jews amongst others watching destruction hill shame cheering kiling innocents think rosie hang little confused flag waving brain dry
0,1,excuse murder women children chemical weapons dont forget iraq started war invading kuwait taking people hostage use human shields
0,1,scots took bribe join england valued money independence practical pragmatic
0,1,like muslims get accused moral torpor failing state bleeding obvious well would nice obvious stated nice identification sense victimhood though right presume sympathy concern victims rape sexual assault well im going say require qualification cultures might hold different view temper horror understanding
0,1,wendy one condones terrorist acts aropund world flimsiest excuses fault america perhaps could explain us terrorist acxts india become newest united states without telling anyone terrorists acted within boundaries
0,1,ignoring president argentina crazy religious nutcase argentina unlike iran ally us tony sometimes wonder youre fruitcakes short libdem party conference
0,1,doesnt seem anything disagree unless bothered research figures ricketts interesting believe problem hardly vitamin diet subcontinent inhabitants getting need sunlight consequently adjust diet accordingly suffer conclusions drawn information surely hypothetical afraid cannot really get involved nitpicking conclusions
0,1,suicide rates among us soldiers heading record higheightynine suicides confirmed 2007army suicide rates risen coinciding usled military action iraq afghanistan spending lot time stressful war zones good mental health
1,0,thought wouldnt starwars sequels prequels lol instead starwars starbucks oh wait thats already done
0,1,oh well thats best way get troops saved neck close children blow course could make children suicide bombers like israel sort kill two birds stone could still blame americans yep im convinced islam religion peace long peace anybody dont like
0,1,hey thought side sunni supereamists ones also want wipe shia face earth come popping defending mad leader iran hope lead innocent people destruction
0,1,long cigar man clinton get slot mrannon intention stepping
0,1,dont mental stamina play game five days alcohol tolerance sit watch long whilst drinking continuously
0,1,hitler claim loathed though served needs vatican accept plenty christians joined hitler crusade forget jewish collaborators fripono really havnt got clue azania hitler loathed christian church tolerated long clergy toed national socialist party line clergy courageous bonhoeffer criticised nazism persecuted great many executed
0,1,interesting expat vote probably turn one around berlusconi refugees possibly id got quick could sheer embarrassment sort couldnt care less sort chaos old country goes pulled ladder
1,0,give time
0,1,brown recluse europe nasty little spider sure worse poison eat away flesh plain killing poison widow outright cause death flesh eating property recluse ugg
0,1,evidence confession report doesnt make clear
0,1,paternalism venezuelans cute little beach combing coffee drinking mango eating people cannot make decisions like launching coup without serious leadership us absolutely proof us involved poorly organized coup chavez spouts distract world fact slowly tearing every vestige democracy oil rich nation
0,1,dont think got point grant japanese people still alive remember nuclear bomb dropped actually worried us iran japanese still resent probably justifiably actions us end second world war im sure widespread worry us militarily moment obvious reasons worries north korea certai extent russia id interested hear got idea worried us
0,1,yep whole world going pan
