class_0,class_1,text
0,1,magic alien assistance lost mystical powers plain patience determination ignoringg attendant slavery moment
1,0,put focus dumbing dilution perversion scientific findings one sees presented media explains mechanisms findings become inaccessible less probing masses
0,1,inventor mean produce kind glue
0,1,people want change long oil still affordable
0,1,fail realize povertyy really means regards education connection status class family social clasism
0,1,clumsy say less feel full conclusion reached
0,1,agricultural techniques may increase amount often comes environmental damage loss biodiversity
1,0,inspiring talk
0,1,think want evolution true theres conspiracy
0,1,question great power bringing great responsibility isnt new spiderman anyone
0,1,ideologues hope whatsoever
0,1,beautiful someone like whos biggest problem controll experiences sounds like sort hell able see boundaries
0,1,got little bored listening
1,0,helping handicapped andor elderly people
0,1,mean demean anyone
1,0,love concept design outcome nice talk
1,0,basic concept people thrive autonomy
1,0,check newly created blog bigg data weks post discusses ethical implications topic
1,0,love
1,0,im living japan consistently appears better end scale
1,0,eloquent reminiscence visit kaba islams religious shrine mr mustafe akyol uses word islamicc law several times
1,0,fantastic talk
1,0,sounds amazing
0,1,importantly government would legitimize businesses issuing business permits licenses whose sole purpose police role
1,0,aime extraordinary speaker
1,0,love voice cello
0,1,doesnt clue functional medicine uses modern europe
0,1,wheres innovation
0,1,looking data struck thailands rapid decrease fertility rate also similar decrease fertility rate neighbors
1,0,many friends died car accidents could avoided technology
1,0,nice work mr klein
1,0,muchas veces al ver un problema pensamos que las soluciones siempre son complejas lo cual implica de cierta forma macutes tiempo macutes dinero sin embargo existen soluciones simples de bajo costo que permiten resultados similares eso es lo que vemos en este video que estacute orientado las clases de escazos recursos
1,0,particles mentions descriptions different possible routs vibrations complex vortex interacting stringss
0,1,worthy ted
0,1,us may capital resources pretty sure us basic education needed teach
1,0,amazing speaker knowledge enough get excited topic
0,1,many denied followup reject common descent macroevolution claim misled misrepresented
1,0,project requirements construct minimal structure unusual materials
1,0,fascinating body work process thinking
1,0,kind revolution area technology
0,1,considered confirmation bias cherypicking
0,1,saying impossible apes similar consciousness
0,1,lastt phrase shamelessly copied knows
0,1,anything lecture seen different type
0,1,root cause covert enslavement humanity historys greatest injustice
0,1,dear walker sadlyy understand sentence really means
0,1,nick bostrom prove negative self away beings always search amp need meaning know neuroscience brain seems evolved ability experience transcendence belief
0,1,bad idea leads generation doesnt understand fundamentals calculation
1,0,brilliant professor
0,1,yet one able compare effectiveness solar orbital microwave power stations
1,0,far introduction hook interesting thought provoking like followed
0,1,rahul dewan ii feel way prevent terrorism raise level discourse god spirituality make spread across religious faiths
0,1,equally like 19th century governing powers ruling elites dont quite answer undo cant really undone
1,0,address personally wish
1,0,thats wonderful right freedom
1,0,nice
0,1,could opposite true gregariousness driving force human beings virtualized makebelieve substitutes actual social interaction
1,0,guys use vlc player mp4 480p version works perfectly awesome quality
0,1,would impolite ask stand argument
1,0,wow
0,1,however large numbers dutch hunting military style rifles able start sniping campaign germans wi may shortened
