class_0,class_1,text
1,0,kindle2 dx cool fantastic right
1,0,reading kindle2 love lee childs good read
1,0,ok first assesment fucking rocks
1,0,fair enough kindle2 think perfect
0,1,fuck economy hate aig non loan given asses
1,0,jquery new best friend
0,1,firmly believe obamapelosi zero desire civil charade slogan want destroy conservatism
1,0,house correspondents dinner last night whoopi barbara amp sherri went obama got standing ovation
1,0,watchin espnjus seen new nike commerical puppet lebronsht hilariouslmao
0,1,dear nike stop flywire shit waste science ugly love
1,0,best athlete generation time basketball related dont want get intersport debates
1,0,love lebron httpbitlypdhur
0,1,lebron beast im still cheering atil end
1,0,lebron hometown hero lol love lakers lets go cavs lol
1,0,lebron zydrunas awesome duo
1,0,lebron beast nobody nba comes even close
1,0,good news call visa office saying everything finewhat relief sick scams stealing
1,0,awesome come back via
1,0,montreal long weekend rampr much needed
1,0,booz allen hamilton bad ass homegrown social collaboration platform way cool
1,0,mluc09 customer innovation award winner booz allen hamilton httppingfmc2hpp
1,0,current use nikon d90 love much canon 40d50d chose d90 video feature mistake
1,0,google always good place look shouldve mentioned worked mustang dad
0,1,us planning resume military tribunals guantanamo bay time trial aig execs chrysler debt holders
0,1,im itchy maybe later lol
1,0,rt love nerdy stanford human biology videos makes miss school httpbitly13t7nr
1,0,bit crazy steep learning curve lyx really good long docs anything shorter would insane
1,0,im listening pyt danny gokey lt3 lt3 lt3 aww hes amazing lt3 much
1,0,going sleep bike ride
0,1,cant sleep tooth aching
0,1,blah blah blah old old plans today going back sleep guess
0,1,glad didnt bay breakers today 1000 freaking degrees san francisco wtf
0,1,started think citi really deep sampt gonna survive turmoil gonna next aig
0,1,shaunwoo haten aig
1,0,regret going see star trek awesome
0,1,annoying new trend internets people picking apart michael lewis malcolm gladwell nobody wants read
1,0,highly recommend malcolm gladwell
1,0,blink malcolm gladwell amazing book tipping point
1,0,malcolm gladwell might new man crush
0,1,twitter api slow clients arent good
0,1,yahoo answers butt sometimes
1,0,rt five things wolfram alpha better vastly different google httpbitly6nsnr
