class_0,class_1,text
0,1,time comes know late
0,1,first pair devil horns second look like pair cat feline like ears
1,0,look ways relevant good video perspective consider order avoid
0,1,lot removing going bucket teeth removal maybe
0,1,represent hk considering last names spelled think china dont get represent china theyre good long zhang jike xu xin
1,0,awwwwwww matty looks adorablee3 cuteiee vid eulia matt please
1,0,pastor morgan brought powerful encouraging word us service really enjoyed god glory
0,1,supposed rhyme didnt
1,0,absolutely awesome impressive
0,1,yeah minute half definitely equals 30 sec
1,0,yes agree 07 ego switched angel a1 kid local field one shot smoother a1 wich belive 40 smoother ego adays guns 300 20bps box like feel thats went angel beacuse love way feel
1,0,loved video joey awesome
1,0,high quality game cannot believe lot greater mw1 ive attained 2nd prestige im delighted got game yesterday evening mw2forfreeyinfo replace im undoubtedly annihilating people
1,0,epic song fo sho
1,0,awesome song danger danger rocks
1,0,favorite song told guitar
1,0,reminds old timers hills awesome
1,0,hahahhahaha thing smog eyesalhadow put project hit pan like month use certian eyeshadows like uds smog used literally everyday september got obsessed like going hit pan forever anyways totally feel ya basically crazy
1,0,love looooooooot hes ideal one
1,0,welcome questions help
1,0,infinite possibilities thanks postingone love
0,1,fuck lyrics suck manbut song greatsoad forever
1,0,phenomenon thousand foot krutch
0,1,jeez starting think wouldnt post tage lol thanks im description
1,0,ian gillan best
1,0,chocoolate
0,1,oh god died
1,0,eman 1st best 3rd 2nd best 1st 3rd best last
1,0,jimmy carr mkes happy ill go watch failed
1,0,lol
1,0,omg old youngest oneshes really good guitar dgreat job
1,0,really cool hope publish book id love read dont mind could tell name first song please thankyou5 stars btw
0,1,listen fuck something yorkshire mean put front random fucking words desription yes fucking much subtitles coronation street apparently lancastrians time aswell
0,1,never said anything one time experience calvin spurgeon
0,1,sucked bad
1,0,hella dope
1,0,even bit music rocks
0,1,would scientists falssified withheld evidence contradicted global warming theory yes
0,1,watever kid dont know wat fuk ur talking ur stupid would say ur username osiris
1,0,thats opening video
1,0,favorite myrtha
1,0,instant classic boon playing synths
0,1,repitition change change change change yes yes yes lmbo theyre yes true say end near ive never seen many people mind controlled nwo put power smart move part stupid people think diff bush work ppl
0,1,would get raped cross fire
0,1,lmfao 9prelude
1,0,wanna help go thedenanproject
0,1,cant believe anyone would thumbs hernje anything
1,0,know rightworkout music kandi
1,0,think black holes definately dont exist think may may exist
1,0,like check quantic
1,0,peace
1,0,thanks
1,0,love tennis match great video ty
1,0,song signature song average white band hit souls youths growing city 70s know thats friends
1,0,haha theyre hilarious together thank subbing
1,0,nice vid
1,0,one favorites joanna shes simply amazing musician
1,0,shes beautiful
1,0,simply incredible
0,1,ur fag
1,0,compliment beautiful eyes pretty long lashes
1,0,called techno words make song important whole wide world narrow bridge important thing worry
0,1,fucking cunts
0,1,tommo cockflap theres shitall chance music cancelled
0,1,npns plug sale
0,1,damn clowns faulttwo fucking dollars man
1,0,jolly good show
1,0,thanks commenting watching
1,0,video really cool
1,0,lol onion great
0,1,thats texas thats 100 shamrock right lived town years hell hole
