class_0,class_1,text
0,1,want togo home
0,1,feel dark eye rings getting darker darker mean processing right argh
0,1,wow nice one smoking addicted quit
1,0,haha thats funy rt yay feel like experienced second coming jesus
1,0,photo via fuckyeahhappy awwwww oddd
0,1,think scalp sunburned interesting considering havent outside today fucking bull ask meowwwieee
0,1,blender gramercy sad sad day
0,1,shit forget restore dorrys food go guilty
0,1,dropped alicia airport sunday oh ya homework
0,1,pigments good dont occ stuff yet
0,1,whee uselessly biked back forth voorhout turns dont work 1230 could slept
0,1,marketable skills
1,0,rt love itleeconti expect massive reduction new born babies named beatrice number years come
0,1,terrible sports weekend vt eagles lose unbelievable
0,1,youre right maybe perfect costume closet wanted wig though
0,1,dude seriously feel bad sad lady got swine flu shot triggered something fuck whos heard bout
0,1,photo tried tested real sisbro imisss
0,1,hi im lisa cant listen cell cast
0,1,600 missing reported us nbc nightly news via
0,1,seriously wishing wasnt work right want bed smiths strawberries sleep
0,1,dont cry honey miss
0,1,boyfriend officially banned taking space trips
0,1,usually point im feeling slightly human feel wanna stop shaking
0,1,im cinemar myselfffffff miss
0,1,wow got transferred specialist found got wisdom tooth wtf fml
0,1,860 oh god oh god oh god drunk emailed professor friday oh god oh god
0,1,think tummy talking
0,1,think sleeping disorder
0,1,realized havent ridden motorcycle weeks
0,1,says happy friday want drown motorcycle problems yarn however spent much parts
0,1,grandma passed away today rip lorraine humbracht great woman fantastic grandma
0,1,didnt
0,1,know watch gonna turn nothin better somethin
0,1,yeah think miss makes sad fast hes growing
0,1,id love budget enough im using money
0,1,cant bought books last night natta bank till start work
1,0,cant help way look lol
0,1,got emotional childrens war exhibit esp sinking city benares ship loss 77 child evacuees heartbreaking
0,1,ive got fantastic headache time sleep thinks night everyone
0,1,sitting indoor soccer facility bums reminded past miss playing
0,1,omg bracelet pink kinda died
0,1,street signs look like theyre going get ripped thats strong wind
0,1,please say hello need make happy today xxxx eu te amo 11
0,1,waiting school bus
0,1,leg hurts need new chair sit rock band
0,1,im ignoring said west10 isnt showing proposal assumed werent going anymore
0,1,thats shitty im chubby butt know feeling gotta ignore surraoundings concentrate goal
0,1,thought grammar matter wheneverhowever communicate know many dont use
0,1,cant get bed
0,1,work hard sleep less underpaid lack holidayswe dont social life real homes pusuit phd
0,1,grr dropped phone head
0,1,yea nd simcards sumwhr dnt knw whre tired il gve lata
0,1,hey fuck isaiah right shouldnt get invite doesnt pshhh think friends
0,1,ahem yes know supports users
0,1,awww im sorry baby
0,1,woke bit ago mouth still sore waiting get call back dentists office
0,1,also headache also sick work
0,1,technology hates third time week gotta take laptop techs
0,1,feel like im chasing tail know feeling
0,1,yup orphan wak fuck found
0,1,get rid pupp
0,1,hate spam followers much looks like gone rain httpmylocmeolds
0,1,feeling love
0,1,didnt see anything midnight
0,1,tooth better nothing worse
0,1,new look later pfshhh kinakabahan ako
0,1,yuppp
0,1,403 good time crying asleep
