class_0,class_1,text
1,0,rt bigger betterif know mean
1,0,listening new age station
1,0,welcome twitter xx
1,0,twitpic lol love home depot love working wmy hands building things dad construction
0,1,enough make sick eh theres nothing sacred anymore
1,0,hacienda level 80 time get epic gear oh maybe sleep would good
1,0,wtf come noone likes metal hardcore like mates max fully metal sucks love metalll
0,1,dont say nword
0,1,city watchdog chaos chief executive hector sants resigns months general election
1,0,sold would love crazyass big sis could say cannot believe broke minimally battered toe
1,0,rt flipin love follow win free flip camera rt please
0,1,oh geez id lot songs way
0,1,hahahah worded weird im reading candle burning room
0,1,chilling textin much infoforeal know los ward yung squad bitch
0,1,busy schedule might leave lot room today scorpio
1,0,photo via omgomgomgomg may 19th
0,1,heres new ideahow get spoon read ass
1,0,rt want via
0,1,andy rambling cc morning shutup get man
0,1,lol forgot car completely left home without
0,1,yet minority despite election law changed skew things aouns favor remain minority
1,0,newest member
1,0,hey adam jpizzle1122 microwave dude utube seems good live stream mw2 maybe ask help
1,0,little caesars large cheese pepperoni limit 210 399
0,1,oh goodness im emo
1,0,rt new posted free bottle chocolates
0,1,emm lip starting hurt
0,1,finally work gonna go home try sleep whatever go job hate miss work
0,1,travel rocky start thanks wayward wallet made flight horridly tense
1,0,rt 50 awesome twitter tips become pro httpowly14ljw via
1,0,thinking wanna make cake party house lol
1,0,check middle london cool
1,0,mountains trees beautiful cottonish blue sky fly
1,0,follow please great would make day btw wanna shampoo hair lmao
1,0,hi nice see back
1,0,rt new york
1,0,went hot power yoga loved much better bikram power good hot good sweat good whats love
0,1,lol well considered posting something normal since normal
0,1,saddens heart women black eyes
1,0,hope dude hahaha subject right xx
1,0,going get jubbys valentines day gift assistance lee shane finally got car registered work mondayfriday 124
0,1,spend next couple hours life working man
0,1,rt threw self floor screamed bro would gettin fat check done dat
1,0,need find red lace see thru dress like black onefor friend brian goins red black birthday party weekendhis gift
1,0,well deserved seems emblematic new bbc confidence unashamedly produce docs pitched advanced level
1,0,learning water heaters ah joys home ownership still single
1,0,cans full fat coke im bouncing round place
0,1,porn shit wont trust tried rt think know giving lentit http3ly3uc
1,0,im super duper excitied right cuz im gonna watch harry potter
1,0,hey going see dundrum friday talking ur mammy teacher today schol im going youx
1,0,rt lift eyes whose throne heaven ps 1231 love maker heaven earth
1,0,disneyworld commercial hes saints qb sooo cute
0,1,las year stressed forgot birthday didnt figure til 730 night bad
1,0,devote prayer watchful thankful good verse great way start day fun day pc
0,1,back walk doggies got caught hail storm hailstones really sting theyre lashing face
1,0,better understand lol rt im going back school free week automotive course
1,0,simon peter answered said thou art christ son living god matthew 1616 jesus loves
0,1,bored waiting ipad come ive made journos pad spray mount
0,1,come conclusions theres bitches dnt like bt follow wtf gotta say
1,0,rock onrt billzucker love cont httptlgd7sh8m
1,0,rt wants laugh httpbitlyabmomr
0,1,clothes smell like weed vomit chicken didnt smoke vomit unfortunately didnt eat chicken nice
0,1,took hours rummaging receipt drawer learn id lost receipt isnt better way httpowly14xm2
0,1,conferences never made wish child ever drinking said cons
1,0,favorited youtube video zooey deschanel weeds
0,1,ugh much gogo juice get bad stomach ache
0,1,urgh im soo bored tired text call anything hmm must find things multi task
1,0,guayadeque nice music player ubuntu geek music player aims intuitive easy use fast eve httpbitly9nli0v
1,0,wahooooo honess bit thin ground today
0,1,headed human resources class know michael hates toby much
1,0,love p2p worried isps keeping logs yourprivatevpn dont worry anymore httpbitlyaemtco
1,0,bab girls club funny ass shyt cant wait til reuion shw
1,0,rt dont forget watch teaser rt chance win signed fnv poster httpbitlyfnvcon must 18
0,1,rt retirement dont run money run time httpowly15rgi
0,1,missed wkcan tell wht happened
0,1,everyone says give dont see like
0,1,yep sumtimes beatings spankings ultimately lead child rebelliousnot tho momz hitz effective lol
0,1,shows im callin early nite early already gettin sleepy
1,0,beer today either enjoying 2008 odonata grenache
1,0,free star bucks gift card
1,0,rt google buzz hot topic look offical google video love go google
1,0,guess whats driving way house
1,0,verizon reduce fees charge airtime theyre successful wtheir high speed effort theyll create
1,0,got one song finish send
0,1,rt sorry ive quiet tweetside im really right addictive
0,1,watched 10 minutes house payne cause didnt want get look remote
1,0,english class profiles ningcom different freetime
0,1,fell asleep three half hours ago bitch awake
1,0,thanks ken rt fred interview james cameron emperor everything httpisgd83otb
1,0,rt entered competition win samsung laptop enter follow rt httpbitlyb4i200
1,0,rt cool photo spread interview wanted magazine photos httpbitlyd5yfxh interview httpbitlybhafui
1,0,today history 1971 satchel paige becomes 1st negroleague player elected baseball hall fame via via
0,1,rt cant lick stick must tell introduce best friend
