class_0,class_1,text
0,1,troubleshooting ad2500 ad2600 picture scrolling bw
0,1,apex dvd player play dvd audio without video
0,1,play audio video scrolling black white
0,1,try return player waste hours calling apex tech support run player car try simple troubleshooting ideas first
0,1,picture hopefully still remote control
0,1,tossed window need fetch
1,0,using remote control press ip button located bottom right corner remote
0,1,doesnt bring back picture try pressing button without playing dvd
0,1,picture scrolling bw need remote control better get dog burries backyard
1,0,press pn button located bottom right corner remote
1,0,pn button switches dvd players video output signal pal ntsc
1,0,pressing pn able get good picture screen
1,0,problems go hope helped continue enjoy apex dvd player troubleshooting tips
0,1,done research experimenting remote apex ad2500 seemed lost video signal
1,0,im happier person discovering ip button
0,1,button probably accidentally pushed cause black screen first place
1,0,youre looking opinion apex dvd player love
1,0,ive player years still performs nicely exception occasional wwhhhrrr sound motor
1,0,price well spent investment
1,0,would recommend buying one
1,0,incredibe price performance
1,0,ive owned dvd players since 1998 far nicest one many ways
1,0,sleek looking good front panel button layout great feature set
1,0,fastforward rewind work much smoothly consistently models ive
1,0,ive bought one den buy 2nd one bedroom
1,0,strengths well listed reviewers
1,0,got buy reviewer said would play dvdrs fill files mp3s
1,0,thats rare valuable feature
1,0,dvd burner computer zillion mp3s lot nicer access 45 gb time dvdr 07 gb time cdr
1,0,another nice thing unit optical coax digital audio outputs though latter mentioned literature id scanned buying
1,0,saved buy expensive optical cable already coax cable
0,1,wish would movies thats one rare cool feature forgo
1,0,getting back normal size sorry im ignorant way get back 1x quickly
1,0,youre bargain hunter want great feature set rockbottom price highly recommend model
1,0,update finish mirror silver like
0,1,many disney movies dont play dvd player
0,1,spoke rep apex told new format used wont able view disney movies made last couple months
0,1,poor quality problem duallayer dvds
0,1,player problem duallayer dvds alias season season money get better quality player
1,0,player works looks great get dvds play
0,1,know saying get pay stage game dvd players must better quality excuse
0,1,pass player never believe reviews product right christmas
0,1,destroyed several dvds cds
1,0,first weeks player everything expected affordable multiformat dvd player stylish slim case advertised
0,1,dvds would stop playing middle even read
0,1,new cds almost always began skipping plays
0,1,funny little ridges dvd look like slice tree trunk
0,1,player worth price recommend dont purchase
0,1,intend contact company ive read
0,1,got screwed fifty bucks
0,1,apex doesnt answer phone
0,1,sigh
0,1,customer service sucks
0,1,bad quality
1,0,great value
