class_0,class_1,text
1,0,oh based god new nike mags light fuck
1,0,post wedding shower
1,0,hope everyone great day today hot atlanta posting new microsoft job opportunities later today
1,0,im old school nintendo mario lover lol rt wow old school games hard
0,1,eurgh epic fail tweet front spelling mistakes aaand words missing must try harder
1,0,spotlite amazing
0,1,rick ross trash wasnt nigga wouldnt even existthat goes waka gucci
0,1,last place want right feel like shit theatre class
1,0,miami florida palm trees love
0,1,please stop calling barbie looking like ken scooby doo make sure shave mustache bitch
0,1,thing tomorrow might coding design day done shouting morons microsoft first thing
1,0,hilton hcr great place cant figure would bad time
0,1,60 please dont rock collar spike hair best look
0,1,whelp continue rant nintendo sucks told us 3ds systems going big box retailers indies
0,1,ughh idea anymore need ideas
0,1,pretty stupid
0,1,theres guy whos 25 bus adidas bag covered menchies become acceptable
0,1,ever laying eyes ol
0,1,feeling lower low never keep relationship past months
1,0,month strong ciggs
1,0,new cross walk blinkers nike talk entertaining
1,0,happy new sony handycam
1,0,watching sister sister use love show
0,1,missing gucci boys get back cyprus
0,1,dis crazy sittin dis hotel tryin gt hilton hotel
1,0,brag anything friend cody amazing brought cotton candy cos feeling lt3
0,1,tell fox news newt gingrichs obamanazi comparison goes far even network http pls rt
1,0,damn shower good
1,0,ok really starting dig whole video thing right tools makes difference sony vegasnuff said
1,0,microsoft crew office team 10 like hollywood set
1,0,great day working womens nike team amazing athletes states
1,0,thanks providing information get nintendo 3ds ambassador program free games
0,1,hell paris hilton arrested offering something useful instead http
0,1,mynichols ding dang hot church ugh
1,0,saw audi r8 day made
1,0,matter life takes find smile
1,0,im onsomniactic spelling baha cant sleep busy working project girls cannot wait go street hunting
1,0,thank adidas
1,0,jaminn car
1,0,woohoo booked tickets harry potter friday cant wait excited ha
1,0,burnt marshmellows hawaiian chips yes
1,0,got dkny jeans nike shoes low low
1,0,missed news well bm stockist excited us queenslanders http
1,0,inkrediblek brownies ice cream yuummy tha fuk
0,1,hate samsung galaxy fone ny heart
1,0,lol roommate made help radio commercial came pretty good
0,1,oy tommm fucked bike
1,0,friends great
0,1,idk want call bad decision mike lol
0,1,im definitely gonna relying microsoft word spelling anymore hell unidentical bloody word o0
1,0,cant wait see rt big air saw weekend great
0,1,mad keep losin connection
1,0,well hello
0,1,swear hate time month inconvenient
0,1,remembering dislike using microsoft project
1,0,hes amazinng dancing singing hes part hes really good looking cont http
1,0,come usa lets finish
0,1,im snatching bitches leisure gucci guccilouis louisfendi fendipradaa basic bitches wear shit dont even bother
1,0,great christmas eve day shopping find day vintage bing crosby christmas lp enjoying merry christmas
1,0,happy new year everyone xoxo
0,1,havent thought miss cus timeline ugh fml
1,0,well deserved beer waiting mates finish work intense microsoft bizspark session martin place
0,1,guys suck die right
1,0,rihanna look hot
1,0,wonder dont go get job make bucks dont give fuk feel great bith feel great
1,0,scratch thatthe best partabout driving vwbug watching 40yr old men punch drive
0,1,lady next train snoring like
1,0,imma rockin gud life
0,1,bankers stole money im gon steal sony currys say people attempting justify sound logic
0,1,optimism running low days
0,1,remember used love himgaveuponhim
1,0,wow single mom friggin herooo thumbs upp im proud http
1,0,anyway new insanicast rendering sony vegas right oh boy ones good one expect see online soon gt
1,0,dinner vino wonderful frands
1,0,perfect day
1,0,want take control beats hot ass fuk
1,0,called answered came rescue wanna
0,1,sometimes easier shoot head
0,1,microsoft word froze halfway done last labim pissed
1,0,happy birthday hope amazing
1,0,always remind congrats bein verified
0,1,guy downtown tryna sale tht fake gucci purse
0,1,demon stalking still dont know exactly willfrowns
1,0,match thumbs guys making day gunners life
0,1,hate guys flash shti dont care good gucci belt want fxcking award fake anyways
1,0,nigga ate great wit dat food wendys da one
1,0,getting
0,1,legit got flu sleeping damn heater 3rd time year im dying used get sick year
0,1,swear theres never food house
1,0,like rt nike adds larry bernandez hairitage tshirt collection http
1,0,creating workshop citation styles anyone else get excited researching
1,0,floridas new nike pro combats sweet year http
1,0,hi everyone happy schedule allowed today
1,0,want squeeze till die cuz thats real love rt fucking love youmy teeth gritting right
0,1,shouldnt know moms member mile high club
0,1,lonely feel sick
0,1,world like high school musical prolly would end shootin sumbody
1,0,love nature
1,0,almost done album
0,1,taking another shot mobileme pain get things sync imac ipad 2005 appt showing current dont know
1,0,come woot
1,0,wow 14 new followers request feel popular hahahahaha
0,1,dammit hate hate fcking whale want change profile photo dear twitter
1,0,dinner good cause starving
1,0,bright sunny morning getting ready another exciting day btw registered free training offered microsoft office365
1,0,another day blessed
1,0,damn cant wait see fav movie jiti still know lines till day lol
0,1,gucci gucci louis louis fendi fendi prada basic bitches wear shit dont even bother
1,0,happy 15 th anyversary sony entertainment
0,1,paparazzie princess paris hilton story dull paris
0,1,really want punch sony vegas right
1,0,hi shiny new macbook microsoft office profeshwere going happy together http
1,0,football shirts dope want happy games
1,0,walking around bikini nice day
1,0,feel like million bucks literally feel 20 years younger learn 60 seconds http
0,1,happens let woman book flight guess wont watching tonights game
0,1,screw xbox live microsoft really knows rub people wrong way week frie http
1,0,appreciate spongebob much im older
0,1,hot azz hell orlando
0,1,got ninja turtles moths
1,0,new nike air mags coolnot style though
1,0,great news partners even greater customers get check microsoft purchase qualified products
1,0,whats best psvita ngp nintendo 3ds think psvita seems realy good grafiks seems awsome
0,1,settling nike hoops summit americans look 10 yrs older euros
0,1,hate typing paper hate hate hate hate
1,0,wow gotta love waking july sunshine
0,1,wasnt even good
1,0,meeting lasted 15 min best meeting everrr
1,0,gotta say nike really cool things get ready work
0,1,bitch thinked runied old ass nike sneakers cus step shit came like yr ago lol didnt step btw
1,0,glad dont need injections im
1,0,rt aint thankz know luv crazy ass like fat kid luvs cake lol rt awww thxz jazz
1,0,av found ooooooothank god
1,0,also havent already started enjoying sale http
1,0,anyone else super excited nintendo 3ds price drop august know gonna 16900
0,1,cuz iz bing bitch geting fucking nerve
1,0,brand new audi r8 gt looks awesome dang cant wait drive haha wish
0,1,ovens take forever heat
0,1,aint fcukin
0,1,blame yall ignorant ass moms raising yall ding dong females wtf happened tha 80s nd 90s oh 4got welfarecokend good niggas
1,0,love state
1,0,bought samsung galaxy pro
1,0,would like express love song magic man heart
1,0,woohoo finally got audio bk need put web cam microsoft office excell powerpoint ect bk probs take nite
0,1,known simon would take sony webtv plus wouldnt purchased
0,1,everything bout fake eye lashes hair nails gucci purse lie yea lie say im busy im bad guy
0,1,think lost braincells watching paris hilton new bff
1,0,love catching friends hearing happy im happy
1,0,today good day
0,1,much hit trail samsung galaxy battery sucks big timeno use samsung support
1,0,checking upcoming nike line campaign pretty awesome fave kicks http
0,1,psn back go play ps3and wont turn power lights nothing think im done sony consoles
0,1,wasnt fucking checking like nike sign
1,0,ezurbanvibe nike tracksuit scarf got christmas flex atm ltlt love boy lt3 xxxx
0,1,hell going without days next weekend
0,1,hate math homework gtlt
0,1,chris brown didnt follow fml thats joke im heart broken im bed depressed
0,1,standin line sneakers middle night lame could gucci prada maddens foams
0,1,losing interest us
0,1,arrrghhh im tired
0,1,wth nauseous urgh wish could take nap
0,1,professors lecturing nonexam material
1,0,dude love bing commercial chromeo
1,0,sleep smile face
1,0,oh trust put
1,0,watched glee thought best episode since sexy
0,1,damnit missed 1111 times row
1,0,lts sydney store 255b crown st surry hills 2010 opening next week getting closer
0,1,nando ass aint gone shit leaving class
1,0,looks like night spidey awesome bass player gonna brainstorm ideas busted music video oh yeah
1,0,lmfao kia soul commercial
1,0,gonna go home shower read chapters book talk baby
0,1,dont get butt hurt give attitude sheesh
0,1,bout locked keys car todayi devastated
0,1,omg im embarrassed
1,0,giving big thumbs movie steve wsandra bullock funny stuff great jabs news medialol
1,0,hot dog ball park better steak ritz humphrey bogart
1,0,pierreopperman neverever stop persuing goals dreams success materializes least expectedhave brilliant week
1,0,like olot lt3 http
1,0,got adidas pantssss yeyeeee
0,1,im beyond exhausted
1,0,toothache died samsung instinct s30 ebay cant wait get
1,0,baked chicken salad cups awesomeness yum http
0,1,earth make movie never watch legally blondes dumb
1,0,love back future nike shoe 2011 nike mag time http via
0,1,havent heard havent heard shit yall niggaz stick gucci waka boys
0,1,maybe torture fight kill dogs ill named athlete year get multimillion dollar nike contract
0,1,walkin 2mi nike boots lliufev
0,1,perez hilton disgusting hypocrite 15 minutes
0,1,carolyn fell bike even worse ripped jeggings
1,0,finished talking wifey going bed love krystal
0,1,wishing bought seedless watermelon
1,0,im loving iphone even today apple wrong moment
0,1,hankito paris hilton thinking shes house dj blame 11111 im starting feel sick stomach true
0,1,fed let
1,0,im still using microsoft money 2004 manage personal finances great program cash flow chart favorite tool
0,1,listening gucci waka makes wanna commit serious criminal acts
1,0,loving nike heels killah
1,0,early morning watch guys play adidas invite good luck guyscant wait see compete
0,1,damn broke new fuckin piece
0,1,ok gunna delete tweet week ass nigga
1,0,looking forward e3 nintendo conference gonna great http
1,0,dc fabb event fabulous dirty martini others http
1,0,silent library make laugh feel smart
0,1,yea gtgt rt aww damn bree gone kill us baby
1,0,obsessed trust issues remix good
1,0,thanx support luv scruf wild biker like look looks like sunny day stay safe http
1,0,im soo happy
1,0,waaaaaayyyy pretty outside inside studying im
